digit,M_connections,N_axons,T,N_positive_samples,Accuracy LR,Accuracy FF,Accuracy IF,Accuracy baseline,release probability,train_epochs,test_epochs
7,5,100,30,7000,96.78,94.55,90.05,89.72,1.0,1,1
0,5,100,10,7000,97.82,91.35,90.21000000000001,90.2,1.0,1,1
0,5,100,50,5000,97.78999999999999,92.74,90.2,90.2,1.0,1,1
3,3,100,20,2048,95.49,92.53,90.88000000000001,89.9,1.0,15,3
1,5,100,40,5000,97.7,91.29,88.64999999999999,88.64999999999999,1.0,1,1
8,5,100,10,5000,93.08,90.32,90.25999999999999,90.25999999999999,1.0,1,1
4,1,100,10,5000,94.71000000000001,91.24,91.42,90.18,1.0,1,1
2,5,100,10,32,92.93,91.49000000000001,90.48,89.68,1.0,15,3
3,5,100,20,256,94.34,91.84,90.75999999999999,89.9,1.0,15,3
2,1,100,30,2048,95.7,91.95,90.95,89.68,1.0,15,3
9,3,100,80,128,90.15333333333334,90.02666666666667,89.91,89.91,0.25,15,3
3,5,100,20,64,92.23,90.49666666666667,90.06333333333333,89.9,0.5,15,3
7,5,100,30,5000,96.95,95.27,90.14999999999999,89.72,1.0,15,3
4,5,100,30,1024,94.08,91.8,90.42666666666666,90.18,0.5,15,3
2,3,100,20,2048,95.74000000000001,94.55,91.55,89.68,1.0,15,3
0,5,100,60,5000,97.95,92.17999999999999,90.21000000000001,90.2,1.0,15,3
3,1,100,10,2048,95.67999999999999,90.25999999999999,90.94,89.9,1.0,15,3
7,5,100,80,5000,96.98,94.57,89.72,89.72,1.0,15,3
7,5,100,10,7000,96.83,93.13,90.88000000000001,89.72,1.0,1,1
7,5,100,30,64,95.22,90.4,89.8,89.72,1.0,15,3
2,5,100,20,64,93.31,90.60000000000001,90.86999999999999,89.68,1.0,15,3
0,5,100,30,5000,97.64,91.81,90.29,90.2,1.0,1,1
3,1,100,20,2048,95.28999999999999,91.19,90.88000000000001,89.9,1.0,15,3
2,8,100,10,2048,95.8,93.83,91.75,89.68,1.0,15,3
8,5,100,40,5000,93.46,91.18,90.25999999999999,90.25999999999999,1.0,15,3
3,5,100,20,32,92.86999999999999,90.36999999999999,89.9,89.9,1.0,15,3
2,8,100,20,2048,95.89,94.95,91.82000000000001,89.68,1.0,15,3
2,1,100,30,5958,95.41333333333334,91.01666666666667,90.68,89.68,0.5,3,3
9,5,100,80,7000,92.38,91.99000000000001,89.91,89.91,1.0,1,1
2,5,100,30,32,91.86999999999999,89.8,89.68,89.68,1.0,15,3
6,3,100,100,2048,95.91666666666666,91.19,90.42,90.42,0.25,15,3
5,5,100,50,7000,93.25,92.65,91.08000000000001,91.08000000000001,1.0,1,1
3,2,100,30,4096,95.46,92.06,90.58,89.9,1.0,15,3
2,5,100,20,128,93.08666666666666,92.38333333333333,91.14666666666666,89.68,0.5,15,3
8,2,100,100,64,91.2,90.25999999999999,90.25999999999999,90.25999999999999,1.0,15,3
4,1,100,20,1024,94.07,90.71000000000001,90.57,90.18,0.5,15,3
7,5,100,10,128,96.34,90.59,90.88000000000001,89.72,1.0,15,3
9,5,100,100,7000,92.44,91.05,89.91,89.91,1.0,1,1
2,5,100,20,5000,95.96000000000001,95.0,91.89,89.68,1.0,15,3
7,5,100,10,16,91.24,90.32333333333334,89.85666666666667,89.72,0.5,15,3
1,5,100,20,5000,98.44000000000001,90.28,89.25,88.64999999999999,1.0,15,3
3,5,100,40,256,93.68666666666667,92.88333333333333,90.10000000000001,89.9,0.5,15,3
3,1,100,10,1024,95.48,90.64,90.79,89.9,1.0,15,3
5,5,100,50,7000,93.17,92.21000000000001,91.08000000000001,91.08000000000001,1.0,1,1
3,3,100,30,2048,95.38,92.58999999999999,90.48,89.9,1.0,15,3
2,2,100,30,2048,95.05,93.20333333333333,90.66666666666666,89.68,0.5,15,3
2,2,100,30,5958,95.93,94.19999999999999,90.91,89.68,1.0,3,3
0,5,100,50,5000,98.16,92.86999999999999,90.28,90.2,1.0,15,3
5,5,100,60,5000,93.49,92.47999999999999,91.08000000000001,91.08000000000001,1.0,1,1
9,5,100,40,7000,92.57,92.33,89.92,89.91,1.0,1,1
7,5,100,50,7000,96.63000000000001,94.95,89.77000000000001,89.72,1.0,1,1
7,5,100,20,5000,96.92,94.67999999999999,90.81,89.72,1.0,15,3
2,1,100,10,1024,94.67,91.25666666666666,90.91333333333334,89.68,0.5,15,3
1,5,100,20,5000,97.87,88.79,89.12,88.64999999999999,1.0,1,1
8,5,100,40,5000,93.08,91.31,90.25999999999999,90.25999999999999,1.0,15,3
7,5,100,20,32,94.15,90.12,89.72,89.72,1.0,15,3
5,5,100,40,1024,93.43,92.47999999999999,91.08000000000001,91.08000000000001,1.0,15,3
7,2,100,10,1024,96.92,93.54,91.11,89.72,1.0,15,3
2,10,100,20,2048,95.8,94.66,91.73,89.68,1.0,15,3
3,10,100,10,2048,95.78999999999999,92.21000000000001,91.14999999999999,89.9,1.0,15,3
1,5,100,50,5000,98.29,94.46,88.64999999999999,88.64999999999999,1.0,15,3
7,5,100,20,256,95.36666666666666,93.07,90.42666666666666,89.72,0.5,15,3
2,5,100,10,1024,95.00666666666666,92.93333333333334,91.49000000000001,89.68,0.5,15,3
4,3,100,30,2048,94.67999999999999,92.17333333333333,90.34666666666666,90.18,0.5,15,3
5,5,100,20,7000,93.44,91.22,91.08000000000001,91.08000000000001,1.0,1,1
7,5,100,20,32,92.82666666666667,91.23333333333333,89.93333333333334,89.72,0.5,15,3
1,5,100,30,7000,97.98,90.71000000000001,88.64999999999999,88.64999999999999,1.0,1,1
5,5,100,50,7000,93.35,92.60000000000001,91.08000000000001,91.08000000000001,1.0,1,1
4,2,100,20,2048,94.18666666666667,91.53666666666666,90.54333333333334,90.18,0.5,15,3
2,2,100,10,1024,95.65,93.61,91.67,89.68,1.0,15,3
4,2,100,20,4096,94.38,91.67333333333333,90.84333333333333,90.18,0.5,15,3
4,5,100,20,32,91.00333333333333,90.51666666666667,90.44666666666666,90.18,0.5,15,3
2,5,100,10,7000,95.61,93.46,91.91,89.68,1.0,1,1
3,5,100,10,256,94.27,90.94333333333333,90.68666666666667,89.9,0.5,15,3
2,1,100,20,2048,95.76,92.88,92.12,89.68,1.0,15,3
2,8,100,20,2048,95.03333333333333,94.01666666666667,91.24333333333333,89.68,0.5,15,3
9,5,100,100,7000,92.4,91.52,89.91,89.91,1.0,1,1
2,10,100,10,1024,94.67333333333333,92.83666666666667,91.05666666666666,89.68,0.5,15,3
2,5,100,20,32,91.00333333333333,91.36666666666666,90.38333333333334,89.68,0.5,15,3
6,5,100,80,5000,96.47,93.51,90.42,90.42,1.0,1,1
4,10,100,10,1024,95.17999999999999,92.30000000000001,91.23,90.18,1.0,15,3
5,5,100,10,5000,93.27,91.08000000000001,91.09,91.08000000000001,1.0,1,1
2,5,100,20,512,94.72333333333334,93.63,91.12333333333333,89.68,0.5,15,3
7,5,100,10,64,95.99,90.66,90.41,89.72,1.0,15,3
2,2,100,20,2048,95.81,94.39999999999999,91.86,89.68,1.0,15,3
4,5,100,20,5000,95.48,93.17,91.23,90.18,1.0,15,3
2,5,100,30,7000,95.32000000000001,94.45,91.08000000000001,89.68,1.0,1,1
2,5,100,20,32,92.11,91.82000000000001,90.0,89.68,1.0,15,3
2,5,100,10,64,93.93,90.86,91.06,89.68,1.0,15,3
3,5,100,40,7000,95.21,93.69,89.97,89.9,1.0,1,1
0,5,100,10,5000,98.07000000000001,91.97,90.2,90.2,1.0,15,3
2,5,100,40,5000,95.5,95.36,90.39,89.68,1.0,15,3
3,5,100,20,512,94.28333333333333,91.73666666666666,90.54333333333334,89.9,0.5,15,3
6,5,100,30,5000,97.13000000000001,94.69999999999999,90.42,90.42,1.0,15,3
3,5,100,30,2048,94.85,92.73333333333333,90.16333333333333,89.9,0.5,15,3
3,5,100,20,128,93.04,91.15666666666667,90.55333333333333,89.9,0.5,15,3
7,5,100,40,5000,96.96000000000001,95.32000000000001,89.98,89.72,1.0,15,3
3,10,100,10,4096,95.56,92.24,90.86,89.9,1.0,15,3
7,5,100,30,32,94.19,89.81,89.77000000000001,89.72,1.0,15,3
4,3,100,30,4096,95.30999999999999,93.16,90.67,90.18,1.0,15,3
1,1,100,80,1024,97.57333333333334,88.64999999999999,88.64999999999999,88.64999999999999,0.5,15,3
6,5,100,60,7000,96.98,94.36,90.42,90.42,1.0,1,1
0,5,100,30,7000,97.81,92.74,90.23,90.2,1.0,1,1
7,5,100,50,7000,96.56,94.8,89.74,89.72,1.0,1,1
7,5,100,20,7000,96.75,94.35,90.97,89.72,1.0,1,1
3,2,100,30,2048,94.86666666666666,91.36999999999999,90.22666666666666,89.9,0.5,15,3
4,8,100,20,2048,95.33,93.06,91.09,90.18,1.0,15,3
5,5,100,40,5000,93.67,93.07,91.08000000000001,91.08000000000001,1.0,15,3
3,2,100,30,4096,94.64333333333333,91.23666666666666,90.24333333333333,89.9,0.5,15,3
0,3,100,20,512,97.77,91.18,90.25999999999999,90.2,1.0,15,3
4,3,100,10,4096,95.55,92.64,91.38,90.18,1.0,15,3
3,5,100,40,1024,94.91000000000001,93.28999999999999,90.29,89.9,1.0,15,3
3,5,100,20,16,90.50333333333333,90.09333333333333,90.03333333333333,89.9,0.5,15,3
7,5,100,20,5000,97.17,94.89999999999999,90.78,89.72,1.0,15,3
3,1,100,20,4096,94.46,90.57666666666667,90.66666666666666,89.9,0.5,15,3
4,5,100,30,5000,94.76,91.91,90.42,90.18,1.0,1,1
2,1,100,10,2048,95.78,92.75999999999999,91.95,89.68,1.0,15,3
2,2,100,30,5000,95.14,93.27333333333333,90.65333333333334,89.68,0.5,10,3
3,3,100,30,2048,95.30999999999999,92.94,90.63,89.9,1.0,15,3
7,5,100,40,1024,96.93,95.08,89.86,89.72,1.0,15,3
9,10,100,30,1024,92.44,91.25,89.91,89.91,1.0,15,3
2,5,100,30,32,91.67999999999999,90.02,89.72,89.68,1.0,15,3
2,5,100,80,7000,95.14,92.57,89.68,89.68,1.0,1,1
2,5,100,10,512,95.45,93.10000000000001,91.73,89.68,1.0,15,3
7,5,100,50,5000,96.54,94.53,89.79,89.72,1.0,1,1
3,5,100,20,64,92.48333333333333,90.97,90.36999999999999,89.9,0.5,15,3
2,10,100,30,2048,95.48,95.16,91.03,89.68,1.0,15,3
7,5,100,100,7000,96.87,93.28999999999999,89.72,89.72,1.0,1,1
6,5,100,10,7000,96.57,92.14,90.46,90.42,1.0,1,1
2,3,100,10,2048,94.74333333333334,92.74,91.24333333333333,89.68,0.5,15,3
1,1,100,60,512,97.12333333333333,88.64999999999999,88.64999999999999,88.64999999999999,0.5,15,3
2,5,100,20,2048,95.74000000000001,94.64,91.88,89.68,1.0,15,3
0,1,100,80,32,93.89333333333333,90.2,90.2,90.2,0.5,15,3
2,5,100,10,1024,94.85666666666667,92.86999999999999,91.09333333333333,89.68,0.5,15,3
6,5,100,40,7000,96.61999999999999,94.67,90.42,90.42,1.0,1,1
6,5,100,30,7000,96.81,94.14,90.42,90.42,1.0,1,1
4,5,100,10,64,92.34333333333333,90.54333333333334,90.67333333333333,90.18,0.5,15,3
5,5,100,10,5000,93.38,91.09,91.08000000000001,91.08000000000001,1.0,1,1
6,5,100,30,7000,96.85000000000001,94.43,90.42,90.42,1.0,1,1
3,5,100,20,64,93.67999999999999,89.96,90.5,89.9,1.0,15,3
2,5,100,30,5958,95.58,95.33,91.07,89.68,1.0,3,3
3,5,100,10,1024,95.46,92.05,90.95,89.9,1.0,15,3
3,2,100,10,4096,95.58,91.64999999999999,90.96,89.9,1.0,15,3
2,5,100,10,128,94.88,91.4,91.63,89.68,1.0,15,3
9,5,100,30,7000,92.99,91.28,89.91,89.91,1.0,1,1
3,5,100,20,64,92.53,90.40333333333334,90.36666666666666,89.9,0.5,15,3
6,5,100,40,5000,96.63000000000001,94.45,90.42,90.42,1.0,1,1
3,2,100,30,2048,94.71000000000001,91.25333333333333,90.21666666666667,89.9,0.5,15,3
2,3,100,10,4096,94.54333333333334,92.82000000000001,91.07666666666667,89.68,0.5,15,3
8,1,100,40,512,91.91,90.25999999999999,90.25999999999999,90.25999999999999,0.5,15,3
2,3,100,20,1024,94.91000000000001,93.48666666666666,91.06,89.68,0.5,15,3
9,1,100,60,32,89.92666666666666,89.91,89.91,89.91,0.25,15,3
4,3,100,20,2048,94.36333333333333,91.58666666666667,90.81333333333333,90.18,0.5,15,3
7,5,100,30,5000,96.91,95.0,90.27,89.72,1.0,15,3
3,1,100,30,4096,95.35,90.52,90.44,89.9,1.0,15,3
6,5,100,40,5000,96.89999999999999,95.54,90.42,90.42,1.0,15,3
5,5,100,20,5000,93.89999999999999,92.2,91.11,91.08000000000001,1.0,15,3
3,2,100,10,2048,95.58,91.44,90.99000000000001,89.9,1.0,15,3
6,5,100,50,5000,96.56,94.67999999999999,90.42,90.42,1.0,1,1
4,5,100,80,7000,94.84,90.96,90.18,90.18,1.0,1,1
5,1,100,10,5000,93.2,91.08000000000001,91.08000000000001,91.08000000000001,1.0,1,1
6,5,100,40,5000,96.85000000000001,95.17999999999999,90.42,90.42,1.0,15,3
7,5,100,20,5000,97.13000000000001,94.63000000000001,90.64999999999999,89.72,1.0,15,3
7,3,100,20,2048,96.86,94.41000000000001,90.73,89.72,1.0,15,3
3,1,100,30,4096,95.50999999999999,90.78,90.42999999999999,89.9,1.0,15,3
3,5,100,60,7000,95.19999999999999,93.5,89.9,89.9,1.0,1,1
3,1,100,30,6131,94.97333333333333,90.14333333333333,90.31,89.9,0.5,3,3
8,5,100,100,7000,92.82000000000001,90.42999999999999,90.25999999999999,90.25999999999999,1.0,1,1
7,1,100,30,2048,96.77,90.95,90.2,89.72,1.0,15,3
6,5,100,30,7000,96.83,94.47,90.42,90.42,1.0,1,1
2,5,100,10,64,94.05,91.66,90.96,89.68,1.0,15,3
2,5,100,20,1024,95.5,94.42,91.77,89.68,1.0,15,3
2,5,100,30,32,91.60000000000001,89.95,89.75999999999999,89.68,1.0,15,3
3,5,100,10,2048,95.49,92.07,90.96,89.9,1.0,15,3
2,5,100,20,32,92.77,91.35,89.69,89.68,1.0,15,3
4,10,100,20,5000,95.54,93.15,91.11,90.18,1.0,15,3
3,5,100,10,7000,95.21,91.83,90.99000000000001,89.9,1.0,1,1
7,2,100,20,1024,96.32333333333334,93.13666666666667,90.55666666666666,89.72,0.5,15,3
7,5,100,20,512,95.82000000000001,93.58333333333333,90.44666666666666,89.72,0.5,15,3
9,5,100,10,7000,93.03,90.42,89.97,89.91,1.0,1,1
3,5,100,10,5000,95.57,92.19000000000001,90.81,89.9,1.0,15,3
1,5,100,10,7000,97.91,88.7,89.64,88.64999999999999,1.0,1,1
8,5,100,40,1024,92.80000000000001,90.77,90.25999999999999,90.25999999999999,1.0,15,3
3,10,100,10,4096,95.38,92.09,90.69,89.9,1.0,15,3
3,2,100,30,2048,94.5,91.45333333333333,90.21000000000001,89.9,0.5,15,3
5,5,100,10,5000,93.84,91.27,91.08000000000001,91.08000000000001,1.0,15,3
1,5,100,30,5000,98.15,90.60000000000001,88.7,88.64999999999999,1.0,15,3
3,5,100,100,7000,95.02000000000001,92.33,89.9,89.9,1.0,1,1
3,3,100,30,4096,95.45,93.30000000000001,90.49000000000001,89.9,1.0,15,3
2,5,100,20,5000,95.89999999999999,94.88,91.96,89.68,1.0,15,3
5,2,100,60,16,91.08000000000001,91.09,91.08000000000001,91.08000000000001,1.0,15,3
5,5,100,60,5000,94.13,93.24,91.08000000000001,91.08000000000001,1.0,15,3
5,5,100,100,7000,93.41000000000001,92.05,91.08000000000001,91.08000000000001,1.0,1,1
8,3,100,40,256,91.38333333333334,90.34,90.25999999999999,90.25999999999999,0.5,15,3
8,5,100,60,5000,93.23,91.46,90.25999999999999,90.25999999999999,1.0,15,3
0,5,100,50,5000,98.00999999999999,92.32000000000001,90.27,90.2,1.0,15,3
2,5,100,30,256,93.86666666666666,93.35,90.57,89.68,0.5,15,3
7,5,100,20,1024,96.32666666666667,93.24666666666667,90.26333333333334,89.72,0.5,15,3
3,5,100,20,1024,94.34,91.77333333333333,90.53333333333333,89.9,0.5,15,3
1,1,100,30,5000,97.74000000000001,88.64999999999999,88.64999999999999,88.64999999999999,1.0,1,1
0,5,100,40,1024,97.76,92.63,90.25,90.2,1.0,15,3
3,8,100,30,1024,95.11,92.85,90.49000000000001,89.9,1.0,15,3
3,10,100,20,1024,94.64666666666666,92.39333333333335,90.55,89.9,0.5,15,3
3,5,100,30,64,93.5,90.08,90.11,89.9,1.0,15,3
4,5,100,30,512,93.90666666666667,91.68666666666667,90.29,90.18,0.5,15,3
5,5,100,100,7000,93.51,91.84,91.08000000000001,91.08000000000001,1.0,1,1
2,5,100,30,1024,94.57333333333334,93.98666666666666,90.70333333333333,89.68,0.5,15,3
7,2,100,40,256,95.92,92.58999999999999,89.94,89.72,1.0,15,3
1,5,100,40,5000,98.31,91.81,88.64999999999999,88.64999999999999,1.0,15,3
6,10,100,20,4096,97.07000000000001,94.34,90.42,90.42,1.0,15,3
6,1,100,30,1024,96.53333333333333,90.50666666666667,90.42,90.42,0.5,15,3
4,5,100,100,7000,95.37,90.62,90.18,90.18,1.0,1,1
2,10,100,20,2048,95.45,94.81,92.15,89.68,1.0,15,3
4,1,100,10,2048,95.43,91.57,91.36,90.18,1.0,15,3
5,5,100,20,5000,94.07,91.9,91.08000000000001,91.08000000000001,1.0,15,3
9,5,100,60,1024,91.58666666666667,91.36666666666666,89.91,89.91,0.5,15,3
4,5,100,50,5000,95.34,92.51,90.18,90.18,1.0,15,3
2,3,100,10,4096,95.66,94.22,92.14,89.68,1.0,15,3
6,5,100,40,1024,96.84,95.02000000000001,90.42,90.42,1.0,15,3
0,5,100,30,7000,97.76,92.96,90.27,90.2,1.0,1,1
0,5,100,60,5000,97.92999999999999,93.0,90.25,90.2,1.0,15,3
2,5,100,40,1024,95.05,94.59,90.32,89.68,1.0,15,3
2,8,100,30,4096,95.76,95.19999999999999,91.17,89.68,1.0,15,3
3,5,100,20,256,95.32000000000001,91.36999999999999,90.42,89.9,1.0,15,3
0,5,100,50,5000,98.09,93.21000000000001,90.3,90.2,1.0,15,3
3,5,100,80,5000,95.22,93.24,89.91,89.9,1.0,15,3
3,5,100,50,7000,94.92,93.71000000000001,89.9,89.9,1.0,1,1
2,5,100,80,5000,95.67999999999999,93.43,89.69,89.68,1.0,15,3
0,5,100,20,5000,97.85000000000001,92.56,90.24,90.2,1.0,15,3
6,5,100,60,7000,96.6,94.37,90.42,90.42,1.0,1,1
4,3,100,30,2048,95.00999999999999,92.74,90.52,90.18,1.0,15,3
3,5,100,30,6131,95.41,93.58,90.55,89.9,1.0,3,3
4,5,100,30,1024,94.77,92.71000000000001,90.59,90.18,1.0,15,3
1,5,100,30,5000,98.26,90.35,88.66000000000001,88.64999999999999,1.0,15,3
2,2,100,10,4096,94.52000000000001,93.01,91.0,89.68,0.5,15,3
1,5,100,80,7000,97.92999999999999,93.96,88.64999999999999,88.64999999999999,1.0,1,1
3,5,100,20,7000,95.23,92.86999999999999,91.29,89.9,1.0,1,1
7,1,100,60,5000,96.7,89.73,89.72,89.72,1.0,1,1
2,3,100,10,4096,95.93,93.82000000000001,92.17,89.68,1.0,15,3
9,5,100,10,7000,92.66,90.10000000000001,89.91,89.91,1.0,1,1
0,5,100,60,7000,97.82,92.02,90.2,90.2,1.0,1,1
7,5,100,10,7000,96.91,93.60000000000001,91.10000000000001,89.72,1.0,1,1
7,5,100,20,7000,96.87,93.97,91.10000000000001,89.72,1.0,1,1
7,5,100,20,1024,96.17666666666666,93.73,90.53666666666666,89.72,0.5,15,3
4,5,100,40,5000,95.39,93.34,90.24,90.18,1.0,15,3
3,5,100,40,7000,95.17,93.43,89.95,89.9,1.0,1,1
8,5,100,100,7000,92.99,90.49000000000001,90.25999999999999,90.25999999999999,1.0,1,1
6,1,100,20,5000,96.58,90.42999999999999,90.42,90.42,1.0,1,1
3,10,100,10,4096,95.69,92.62,90.64999999999999,89.9,1.0,15,3
3,5,100,20,7000,95.39,92.69,91.06,89.9,1.0,1,1
6,5,100,80,7000,96.96000000000001,93.42,90.42,90.42,1.0,1,1
9,1,100,80,32,90.10000000000001,89.91,89.91,89.91,1.0,15,3
3,2,100,10,2048,94.39,90.69666666666667,90.46666666666667,89.9,0.5,15,3
